row_index_zero_based,label,proba_score,decision_function
672,0,0.13466065343024172,0.63200336272928892
433,1,0.14354973330681639,0.7227987268299616
479,0,0.14494513964651837,0.7366222896436263
922,0,0.14043592361717452,0.69154352296459165
2137,0,0.091609660588269359,0.10156478459729951
353,1,0.20048508363813031,1.2154239591343046
1659,0,0.13293461183797545,0.61379122328808378
194,0,0.112157567491182,0.37700834810841627
2362,0,0.13797342872153295,0.66641286362648788
651,0,0.22944871593029065,1.4255578266636264
848,0,0.18589427541722719,1.1009075147016645
845,0,0.11470944303252061,0.40803928862142297
379,0,0.11641379641240689,0.42843116933632625
791,0,0.14187163300366185,0.70602571869450315
478,0,0.10189111767577413,0.24555606165292782
756,0,0.089778823533733842,0.074416305626774037
2246,0,0.10782852040471076,0.32292600283599565
1881,0,0.20047928762352166,1.2153797409784075
1359,0,0.094276074420602721,0.14024384278775043
797,0,0.10937847035971075,0.34250459047164167
1615,0,0.10518737022437397,0.28898597840656531
545,0,0.17693174030492304,1.0270924076774071
885,0,0.15062409516954783,0.79176759213468273
778,0,0.15035530942526823,0.7891965813367352
387,0,0.19567199318485839,1.1783689262531789
1371,0,0.12234559622020255,0.49744213945893384
256,1,0.15187972946859871,0.80372834884370059
592,0,0.15576094573595187,0.84019402641072682
1613,0,0.099845876640977785,0.21797880833048761
805,0,0.095894464232897533,0.16324468265266573
338,0,0.17488843315939456,1.0098560033653534
799,0,0.11396527642314382,0.39905286465956297
864,0,0.1437784763600386,0.72507240108752558
544,0,0.13354499580813714,0.62025435618982483
206,0,0.14083022360253972,0.69553316048913949
646,0,0.19094528695424792,1.141301488167717
2505,0,0.16469851485679388,0.92143676897283133
2461,0,0.10068922315870456,0.2294103935952983
455,0,0.15694349007529251,0.85115697254298839
190,0,0.22024817963260399,1.3609983720598691
2336,0,0.17034875607453112,0.97098491771823459
715,1,0.15931169629625819,0.87291130987275967
201,0,0.10363786822167322,0.26872267803441668
2552,0,0.15958314778167373,0.87538806683325143
524,0,0.098504970246842169,0.19962475296352694
169,0,0.11232982786813171,0.37912233152395064
2378,0,0.10658758076943085,0.30707162655342474
1623,0,0.092717972829254328,0.11776314129740068
704,0,0.11774731223937364,0.4442061324208843
285,1,0.1984498747155099,1.1998379095730152
474,0,0.17710085498898515,1.0285119593483902
1471,0,0.092874024180859147,0.12002990067305064
2522,1,0.093379899120996743,0.12735467425378638
556,1,0.2333175224998601,1.4521600789776927
603,0,0.16175150296685908,0.89505097866342287
800,0,0.18997745265594321,1.1336255379508422
2478,0,0.14820505928768982,0.76849137149839009
830,0,0.19361589436134155,1.1623293301738133
1345,0,0.1376187688283384,0.66276248594477249
1792,0,0.092729665759353014,0.11793310826796521
692,1,0.1514710031207529,0.79984390551274265
1723,1,0.1017449653448884,0.24360177343230344
1115,0,0.099919759003324615,0.21898370832070618
1828,0,0.26097716649098973,1.6340920860804078
2132,0,0.18026983776003119,1.0549181183632013
720,0,0.17104919279325081,0.97703554427099037
801,1,0.22147408415530084,1.3697099839479929
193,0,0.086395765751277359,0.022909607943770949
689,0,0.22204765504600577,1.3737740845817672
762,0,0.12307279912266952,0.50570267094344734
268,0,0.25870158470414023,1.6196231057081862
617,1,0.1607784523607528,0.88625376246908538
36,0,0.11463778034574076,0.40717611521830238
2543,0,0.11044563271535167,0.35584370910210356
313,0,0.16367636927687981,0.91232843757184434
322,1,0.23984364391823826,1.4963485917180737
1905,0,0.088429168988971615,0.05408167499795663
749,0,0.2064486386669899,1.260423492004288
462,0,0.089303556409383214,0.067287322217174039
2074,0,0.1141041331456943,0.40073354473470707
1405,0,0.22835430208114413,1.4179755650747563
504,1,0.12371555510372398,0.51296908176914857
755,0,0.24834535401345376,1.5526980575202762
2041,0,0.093179561949957815,0.1244581773297212
851,0,0.22476449245051539,1.3929234354398323
2260,1,0.18488630399367176,1.0927456907380526
581,0,0.14890052963340383,0.77521515390510309
162,0,0.19406490372512741,1.1658430342304724
265,0,0.15645906110141927,0.84667416853514021
2259,0,0.086243629465123595,0.020550754938553517
466,0,0.18506764369976111,1.0942165802793731
1516,0,0.093508042421801066,0.12920446252054602
717,1,0.19613158263400082,1.1819367033650268
385,1,0.16564923936063733,0.92986802098704913
2174,0,0.090484293100003763,0.084935848635694089
491,0,0.16630924469934333,0.93569832367378325
877,0,0.14714170910782601,0.75816036819614774
527,0,0.17948783508320029,1.0484358771247999
1477,0,0.093155993017030689,0.12411704786239575
662,0,0.20787597467213634,1.271050420225178
308,1,0.26354716002749179,1.6503352723516198
890,0,0.09225926224048904,0.11108014514958964
303,1,0.18038831915474232,1.0558983289066051
2497,0,0.090105370501215892,0.079294803409447445
665,0,0.094191565059121435,0.13903309433245464
638,0,0.21583287652036823,1.3293299751863348
743,0,0.09516874944649209,0.15297399938192263
1305,0,0.086355630965541566,0.022287688868552646
757,0,0.094176204428750979,0.13881292117470206
787,0,0.21326913963131691,1.3107260650756307
476,0,0.16378791228819847,0.91332461506640894
2506,0,0.096232245844623962,0.1680014576348427
1997,0,0.12081191357852,0.47988102826407525
475,0,0.11568998882310458,0.41980302811116182
636,0,0.27270119024651096,1.7073839291982174
621,0,0.23842901078374262,1.4868410718890699
2011,0,0.085723151983554804,0.012452216497833957
205,0,0.11683785784605992,0.43346457154447299
825,0,0.20847706036137764,1.2755095661929303
723,0,0.12358328557751934,0.5114764184784848
578,0,0.17532688100210309,1.0135678496012286
